"hotel","location","ranking","rating","review_count","min_price_usd","max_price_usd","review","date","sentiment","positive_score","neutral_score","negative_score","mixed_score","city","month","review_length"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","1","5.0","2673","25.0","63.0","Amazing spot! Accompanied with great staff, very friendly and caring about customer experience 😀 the food was exceptional! Flavourful and tasty, it also arrived really quick.","December 2023","POSITIVE","0.9996644258499146","0.0002313146396772936","2.0796549506485462e-05","8.346902177436277e-05","London","12","174"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","1","5.0","2673","25.0","63.0","Bonoo was suggested to us by some friends and we were not disappointed!
Food and service was absolutely first class from start to finish, the lamb biryani was to die for! 
Our waitress Dimple was warm, friendly and attentive from beginning to end. I would...highly highly recommend and will visit again without any doubt!More","December 2023","POSITIVE","0.9997743964195251","0.00016366777708753943","2.4290577130159363e-05","3.7584326491924e-05","London","12","325"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","1","5.0","2673","25.0","63.0","Second time visiting and once again food was absolutely amazing.  It’s expensive but i LOVE Indian food and this is up there with the best!","December 2023","POSITIVE","0.99937903881073","0.0003487471549306065","8.642084867460653e-05","0.00018578565504867584","London","12","139"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","1","5.0","2673","25.0","63.0","Had a lovely meal at Bonoo, the chilli paneer and okra fries were a highlight, second only to the extremely friendly and accommodating service!","December 2023","POSITIVE","0.9991828799247742","0.0007053667213767767","7.293729140656069e-05","3.886643753503449e-05","London","12","143"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","1","5.0","2673","25.0","63.0","Hands down, best butter chicken ever. The staff are so sweet and attentive. 10/10 recommend. Will definitely be back.","December 2023","POSITIVE","0.9993212223052979","0.0006002858281135559","5.754275116487406e-05","2.1024379748268984e-05","London","12","117"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","1","5.0","2673","25.0","63.0","Fantastic dinner, lovely staff and great vegetarian (and other dietary)  options! Will definitely return.","December 2023","POSITIVE","0.9995506405830383","0.00037099909968674183","5.705606963601895e-05","2.1250161807984114e-05","London","12","105"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","1","5.0","2673","25.0","63.0","Not that great , there is room for improvement! We had to wait a long time for our order to be taken and on top of that, we waited for the food to arrive to our table for more than 20 min, this considering it...wasn’t even that busy!More","December 2023","MIXED","0.015063527040183544","0.0025367997586727142","0.20832785964012146","0.7740718126296997","London","12","237"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","1","5.0","2673","25.0","63.0","The food was mainly very good with some of the dishes being different to the usual but overpriced for what you received. I would not call it tapas, it was organised more along the lines of starters and mains.  We were sat downstairs, small but...nice atmosphere and friendly and attentive staff.   Only thing I did not like was that they bring you over a link to Tripadvisor and Google reviews (from memory) before they give you the bill and ask if you can fill out, puts you a bit on the spot but great marketing tool on their partMore","October 2023","MIXED","0.10019783675670624","0.0006228812853805721","0.0051214126870036125","0.8940578699111938","London","10","536"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","1","5.0","2673","25.0","63.0","Really nice restaurant. Great food and atmosphere. There was nothing I ate that I didn’t enjoy and look forward to coming again!","December 2023","POSITIVE","0.9921655654907227","0.0008909389143809676","0.0006154846050776541","0.006328017450869083","London","12","128"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","1","5.0","2673","25.0","63.0","Delicious food and beautiful atmosphere. The decor and waiting staff are lovely. The restaurant is really nice and intimate. They brought us a complimentary drink and dessert for our anniversary which is always a bonus!","December 2023","POSITIVE","0.9995638728141785","0.00037040584720671177","1.7100943296100013e-05","4.860987246502191e-05","London","12","219"
